,user_id,level_1,department
0,1,0,snacks
1,2,0,dairy eggs
2,3,0,produce
3,4,0,beverages
4,4,1,frozen
5,7,0,produce
6,10,0,produce
7,11,0,dairy eggs
8,12,0,produce
9,13,0,dairy eggs
10,14,0,pantry
11,15,0,snacks
12,16,0,produce
13,17,0,beverages
14,18,0,produce
15,19,0,frozen
16,21,0,dairy eggs
17,22,0,produce
18,24,0,beverages
19,26,0,beverages
20,27,0,beverages
21,28,0,produce
22,29,0,snacks
23,30,0,beverages
24,31,0,frozen
25,32,0,produce
26,34,0,produce
27,35,0,produce
28,36,0,international
29,37,0,produce
30,38,0,dairy eggs
31,39,0,produce
32,40,0,snacks
33,41,0,dairy eggs
34,41,1,produce
35,42,0,frozen
36,43,0,produce
37,46,0,produce
38,47,0,dairy eggs
39,48,0,produce
40,49,0,produce
41,50,0,produce
42,52,0,snacks
43,54,0,produce
44,55,0,snacks
45,56,0,produce
46,57,0,produce
47,58,0,canned goods
48,59,0,produce
49,60,0,dairy eggs
50,62,0,produce
51,63,0,dairy eggs
52,64,0,produce
53,65,0,produce
54,66,0,pantry
55,67,0,produce
56,68,0,produce
57,69,0,dairy eggs
58,70,0,dairy eggs
59,71,0,dairy eggs
60,72,0,dairy eggs
61,73,0,produce
62,74,0,produce
63,75,0,produce
64,76,0,beverages
65,77,0,produce
66,78,0,frozen
67,79,0,produce
68,80,0,produce
69,81,0,produce
70,82,0,produce
71,83,0,snacks
72,84,0,produce
73,85,0,produce
74,86,0,produce
75,87,0,dairy eggs
76,88,0,pets
77,89,0,produce
78,90,0,snacks
79,91,0,dairy eggs
80,92,0,beverages
81,93,0,snacks
82,94,0,dairy eggs
83,95,0,produce
84,96,0,frozen
85,97,0,household
86,98,0,beverages
87,99,0,produce
88,100,0,produce
89,101,0,produce
90,102,0,produce
91,103,0,dairy eggs
92,104,0,deli
93,105,0,produce
94,107,0,snacks
95,108,0,produce
96,109,0,produce
97,110,0,produce
98,111,0,pantry
99,112,0,produce
100,113,0,household
101,115,0,bakery
102,115,1,dry goods pasta
103,115,2,produce
104,116,0,beverages
105,117,0,snacks
106,118,0,produce
107,121,0,produce
108,122,0,beverages
109,123,0,dairy eggs
110,124,0,produce
111,125,0,produce
112,126,0,produce
113,127,0,frozen
114,128,0,dairy eggs
115,129,0,produce
116,131,0,frozen
117,132,0,dairy eggs
118,133,0,pantry
119,134,0,dairy eggs
120,137,0,dairy eggs
121,138,0,frozen
122,140,0,produce
123,142,0,produce
124,143,0,produce
125,144,0,dairy eggs
126,145,0,dairy eggs
127,146,0,produce
128,147,0,snacks
129,148,0,babies
130,149,0,produce
131,150,0,frozen
132,151,0,produce
133,152,0,dairy eggs
134,153,0,produce
135,154,0,dairy eggs
136,155,0,produce
137,158,0,personal care
138,160,0,dairy eggs
139,161,0,produce
140,162,0,dairy eggs
141,163,0,produce
